,0
0,course-v1:TsinghuaX+10610204_tv+2015_T1
1,course-v1:TsinghuaX+AP000008X+sp
2,course-v1:TsinghuaX+10430484X+2016_T1
3,course-v1:RiceX+RELI157x+2017_T2
4,UC_BerkeleyX/ColWri2_1x_2015_T1/2015_T1
5,course-v1:TsinghuaX+TsinghuaMandarin01+sp
6,course-v1:TsinghuaX+AP000009X+sp
7,course-v1:TJU+TJU2016001+sp
8,course-v1:TsinghuaX+20740084X+2016_T1
9,course-v1:RiceX+BIOC372_1x+2017_T1
10,course-v1:CAU+08110140_1x+sp
11,course-v1:RiceX+BIOC372_1x+2017_T2
12,course-v1:NBCCx+NBCC000502+_sp
13,TsinghuaX/10430484X/_1_
14,course-v1:RiceX+RELI157x+2017_T1
15,course-v1:TsinghuaX+30150303X+2015_T2
16,course-v1:TsinghuaX+80515522X+2017_T2
17,AdelaideX/humbio101x/_
18,course-v1:SEU+00034237_p1+sp
19,TsinghuaX/60240013_2015X/2015_T1
20,course-v1:MITx+6_00_1x+2015_T2
21,course-v1:Stanford+SciWrite+2016_T2
22,course-v1:XJTU+ME-XMGL2013-014X+2017_T2
23,TsinghuaX/10421084_2015X/2015_T1
24,course-v1:MITx+6_00_1x+2015_T1
25,course-v1:TsinghuaX+70230063X+sp
26,course-v1:TsinghuaX+80515522X+2017_T1
27,course-v1:TsinghuaX+80511503X+sp
28,course-v1:MIT+15_390_2x+_
29,TsinghuaX/10610224X/2015_T2
30,course-v1:TsinghuaX+TsinghuaMandarin01+2016_T1
31,course-v1:TsinghuaX+10691113X+2017_T1
32,course-v1:ustcX+LB05203_a+2016_T2
33,course-v1:TsinghuaX+10691113X+2017_T2
34,course-v1:TsinghuaX+01510192X+2016_T2
35,course-v1:TsinghuaX+00612643X_p3+sp
36,course-v1:TsinghuaX+00690342X_p1+sp
37,TsinghuaX/20330334X/_
38,course-v1:TsinghuaX+THU201605X+2017_T2
39,course-v1:TsinghuaX+80512073X+2016_TS
40,course-v1:TsinghuaX+80515522X+2016_T1
41,course-v1:TsinghuaX+60240202X+2016_T1
42,course-v1:NUDT+000601502+sp
43,course-v1:TsinghuaX+80512073X+2017_T2
44,TsinghuaX/10421084X/_B_1_
45,course-v1:TsinghuaX+TSINGHUA107+sp
46,course-v1:ChongqingUX+MGMT31701X+sp
47,course-v1:TsinghuaX+80515522X+2016_T2
48,course-v1:TsinghuaX+THU201605X+2017_T1
49,TsinghuaX/THUSEM005/_
50,course-v1:TsinghuaX+30130274X+2016_T1
51,course-v1:NPUX+2016001+sp
52,TsinghuaX/10430494_2015X/2015_T1
53,course-v1:UC_BerkeleyX+ColWri2_2x+sp
54,course-v1:TsinghuaX+90640012X_p1+sp
55,course-v1:NCTU+wym+2016_T2
56,course-v1:ZUELX+B0601353+2017_T1
57,TsinghuaX/20740042X/2015_T2
58,course-v1:ZUELX+B0601353+2017_T2
59,course-v1:TsinghuaX+20740042X+sp
60,course-v1:JLUx+0000045603+sp
61,course-v1:Tsinghua+20150001+2015_T2
62,TsinghuaX/10421084_2015WV/2015_winter_vacation
63,course-v1:TsinghuaX+00690302_2+2016_T2
64,course-v1:ECNUx+BIOL0031112013+2015_T2
65,course-v1:TsinghuaX+00720091X_2015_2+2015_T2
66,course-v1:ACCA+FA2_X+sp
67,course-v1:TsinghuaX+00701032X_tv+2015_T1
68,course-v1:SDUx+sd010201402+sp
69,course-v1:TsinghuaX+00740043X+2016_T1
70,course-v1:TsinghuaX+30140393X+2016_T1
71,RiceX/BIOC372_2x/_
72,course-v1:TsinghuaX+80590952X+2016_T2
73,course-v1:HUBU+20170227X+2017_T2
74,course-v1:TsinghuaX+00040132X+sp
75,course-v1:TsinghuaX+00740123X+2016_TS
76,TsinghuaX/01030132X_2015X/2015_T2
77,course-v1:TsinghuaX+00740043_2x+2017_T1
78,course-v1:rcoe+MOOC102+2016_T1
79,course-v1:TsinghuaX+20740042X+2016_T1
80,course-v1:ChongqingUX+CHEM10000X+sp
81,course-v1:TsinghuaX+10610224X_p1+sp
82,course-v1:TsinghuaX+70150023X_2015_T2+2015_T2
83,course-v1:HIT+GH47100100+2016_T2
84,TsinghuaX/00720091X/_
85,course-v1:TsinghuaX+80000822X+2016_TS
86,course-v1:xuetangx+credittest1+2017_T1
87,course-v1:CHD+24123150+_
88,course-v1:TsinghuaX+40040152X+sp
89,course-v1:HIT+GH47100100+2016_T1
90,course-v1:TsinghuaX+10421084X_2015_2+sp
91,course-v1:TsinghuaX+THU201607+sp
92,TsinghuaX/THUSEM007/_
93,course-v1:HIT+GO90801500+2016-T2
94,course-v1:TsinghuaX+AP000002X+2016T2
95,course-v1:TsinghuaX+20440333_2015X+sp
96,TsinghuaX/70120073X/_
97,course-v1:TsinghuaX+61030031X+2016_T2
98,course-v1:TsinghuaX+34000888X_p1+sp
99,course-v1:HIT+GH47100100+2017_T1
100,course-v1:TsinghuaX+00740123X+2017_T1
101,course-v1:TsinghuaX+30040323X+2016_T1
102,UC_BerkeleyX/ColWri2_3x/2014_T2
103,TsinghuaX/10800032X/_
104,course-v1:CYCU+cycusheji+2017_T2
105,course-v1:RUCX+AP000010X+2017_T1
106,course-v1:TsinghuaX+20140064X+2016_T1
107,course-v1:JLUx+gx01640603_103138_1_tv+2015_T1
108,course-v1:NTHU+MOOC_04_001+2015_T2
109,course-v1:TsinghuaX+40670453X+sp
110,course-v1:NTHU+MOOC_00_006+sp
111,course-v1:CYCU+cycusheji+2017_T1
112,course-v1:RiceX+RELI157x+2016T2
113,course-v1:HIT+GH47100100+2017_T2
114,course-v1:TsinghuaX+00740123X+2017_T2
115,course-v1:TsinghuaX+10610193X+2017_T1
116,course-v1:HIT+13SC20301820+sp
117,course-v1:TsinghuaX+10610183X_2015_T2+2015_T2
118,course-v1:Tsinghuax+10421065X_2015_T2+2015_T2
119,course-v1:RiceX+AdvBIO_2x+sp
120,course-v1:TsinghuaX+10610193X+2017_T2
121,course-v1:TsinghuaX+THU201605X+2016_T1
122,UC_BerkeleyX/CS169_1x_1/2014_T1
123,course-v1:RiceX+BIOC372_1x+2016_T2
124,course-v1:HIT+GO90801500+2016_TS
125,course-v1:TsinghuaX+70250023X_2015_2+2015_T2
126,course-v1:TNUA+AO35003+_
127,course-v1:TsinghuaX+THU201605X+2016_T2
128,course-v1:RiceX+BIOC372_2x+2016_T2
129,TsinghuaX/20250103X/2015_T2
130,course-v1:RiceX+AdvBIO_2x+2015_T2
131,TsinghuaX/80511503X/2015_T2
132,course-v1:TsinghuaX+00740113_1X+sp
133,course-v1:ACCA+FA1-MA1_X+2016_T2
